# pixel vinkelx vinkely
0 -0.261483 0.001365
1 -0.259902 0.001365
2 -0.258324 0.001365
3 -0.256748 0.001365
4 -0.255174 0.001365
5 -0.253602 0.001365
6 -0.252032 0.001365
7 -0.250464 0.001365
8 -0.248898 0.001365
9 -0.247335 0.001365
10 -0.245773 0.001365
11 -0.244214 0.001365
12 -0.242656 0.001365
13 -0.241101 0.001365
14 -0.239548 0.001365
15 -0.237996 0.001365
16 -0.236447 0.001365
17 -0.234900 0.001365
18 -0.233355 0.001365
19 -0.231812 0.001365
20 -0.230270 0.001365
21 -0.228731 0.001365
22 -0.227194 0.001365
23 -0.225659 0.001365
24 -0.224125 0.001365
25 -0.222594 0.001365
26 -0.221065 0.001365
27 -0.219537 0.001365
28 -0.218012 0.001365
29 -0.216488 0.001365
30 -0.214967 0.001365
31 -0.213447 0.001365
32 -0.211929 0.001365
33 -0.210413 0.001365
34 -0.208899 0.001365
35 -0.207387 0.001365
36 -0.205876 0.001365
37 -0.204368 0.001365
38 -0.202861 0.001365
39 -0.201357 0.001365
40 -0.199854 0.001365
41 -0.198353 0.001365
42 -0.196853 0.001365
43 -0.195356 0.001365
44 -0.193860 0.001365
45 -0.192366 0.001365
46 -0.190874 0.001365
47 -0.189384 0.001365
48 -0.187895 0.001365
49 -0.186409 0.001365
50 -0.184924 0.001365
51 -0.183440 0.001365
52 -0.181959 0.001365
53 -0.180479 0.001365
54 -0.179001 0.001365
55 -0.177525 0.001365
56 -0.176050 0.001365
57 -0.174577 0.001365
58 -0.173106 0.001365
59 -0.171636 0.001365
60 -0.170169 0.001365
61 -0.168702 0.001365
62 -0.167238 0.001365
63 -0.165775 0.001365
64 -0.164314 0.001365
65 -0.162854 0.001365
66 -0.161396 0.001365
67 -0.159940 0.001365
68 -0.158485 0.001365
69 -0.157032 0.001365
70 -0.155581 0.001365
71 -0.154131 0.001365
72 -0.152682 0.001365
73 -0.151235 0.001365
74 -0.149790 0.001365
75 -0.148347 0.001365
76 -0.146905 0.001365
77 -0.145464 0.001365
78 -0.144025 0.001365
79 -0.142587 0.001365
80 -0.141151 0.001365
81 -0.139717 0.001365
82 -0.138284 0.001365
83 -0.136852 0.001365
84 -0.135422 0.001365
85 -0.133994 0.001365
86 -0.132567 0.001365
87 -0.131141 0.001365
88 -0.129717 0.001365
89 -0.128294 0.001365
90 -0.126873 0.001365
91 -0.125453 0.001365
92 -0.124035 0.001365
93 -0.122618 0.001365
94 -0.121202 0.001365
95 -0.119788 0.001365
96 -0.118375 0.001365
97 -0.116964 0.001365
98 -0.115554 0.001365
99 -0.114145 0.001365
100 -0.112738 0.001365
101 -0.111332 0.001365
102 -0.109927 0.001365
103 -0.108524 0.001365
104 -0.107122 0.001365
105 -0.105722 0.001365
106 -0.104322 0.001365
107 -0.102924 0.001365
108 -0.101527 0.001365
109 -0.100132 0.001365
110 -0.098738 0.001365
111 -0.097345 0.001365
112 -0.095953 0.001365
113 -0.094563 0.001365
114 -0.093174 0.001365
115 -0.091786 0.001365
116 -0.090399 0.001365
117 -0.089014 0.001365
118 -0.087629 0.001365
119 -0.086246 0.001365
120 -0.084865 0.001365
121 -0.083484 0.001365
122 -0.082104 0.001365
123 -0.080726 0.001365
124 -0.079349 0.001365
125 -0.077973 0.001365
126 -0.076598 0.001365
127 -0.075225 0.001365
128 -0.073852 0.001365
129 -0.072481 0.001365
130 -0.071110 0.001365
131 -0.069741 0.001365
132 -0.068373 0.001365
133 -0.067006 0.001365
134 -0.065640 0.001365
135 -0.064275 0.001365
136 -0.062911 0.001365
137 -0.061549 0.001365
138 -0.060187 0.001365
139 -0.058827 0.001365
140 -0.057467 0.001365
141 -0.056108 0.001365
142 -0.054751 0.001365
143 -0.053394 0.001365
144 -0.052039 0.001365
145 -0.050684 0.001365
146 -0.049331 0.001365
147 -0.047978 0.001365
148 -0.046627 0.001365
149 -0.045276 0.001365
150 -0.043927 0.001365
151 -0.042578 0.001365
152 -0.041230 0.001365
153 -0.039884 0.001365
154 -0.038538 0.001365
155 -0.037193 0.001365
156 -0.035849 0.001365
157 -0.034506 0.001365
158 -0.033163 0.001365
159 -0.031822 0.001365
160 -0.030481 0.001365
161 -0.029142 0.001365
162 -0.027803 0.001365
163 -0.026465 0.001365
164 -0.025128 0.001365
165 -0.023792 0.001365
166 -0.022457 0.001365
167 -0.021122 0.001365
168 -0.019788 0.001365
169 -0.018455 0.001365
170 -0.017123 0.001365
171 -0.015792 0.001365
172 -0.014461 0.001365
173 -0.013132 0.001365
174 -0.011803 0.001365
175 -0.010474 0.001365
176 -0.009147 0.001365
177 -0.007820 0.001365
178 -0.006494 0.001365
179 -0.005169 0.001365
180 -0.003844 0.001365
181 -0.002520 0.001365
182 -0.001197 0.001365
183 0.000126 0.001365
184 0.001447 0.001365
185 0.002768 0.001365
186 0.004089 0.001365
187 0.005409 0.001365
188 0.006728 0.001365
189 0.008046 0.001365
190 0.009364 0.001365
191 0.010681 0.001365
192 0.011998 0.001365
193 0.013314 0.001365
194 0.014629 0.001365
195 0.015944 0.001365
196 0.017258 0.001365
197 0.018572 0.001365
198 0.019885 0.001365
199 0.021197 0.001365
200 0.022509 0.001365
201 0.023821 0.001365
202 0.025131 0.001365
203 0.026442 0.001365
204 0.027751 0.001365
205 0.029061 0.001365
206 0.030369 0.001365
207 0.031678 0.001365
208 0.032985 0.001365
209 0.034293 0.001365
210 0.035599 0.001365
211 0.036906 0.001365
212 0.038211 0.001365
213 0.039517 0.001365
214 0.040822 0.001365
215 0.042126 0.001365
216 0.043430 0.001365
217 0.044734 0.001365
