# pixel vinkelx vinkely
0 -0.298122 0.000331
1 -0.297742 0.000331
2 -0.297363 0.000331
3 -0.296983 0.000331
4 -0.296603 0.000331
5 -0.296224 0.000331
6 -0.295844 0.000331
7 -0.295465 0.000331
8 -0.295086 0.000331
9 -0.294706 0.000331
10 -0.294327 0.000331
11 -0.293948 0.000331
12 -0.293569 0.000331
13 -0.293190 0.000331
14 -0.292812 0.000331
15 -0.292433 0.000331
16 -0.292054 0.000331
17 -0.291676 0.000331
18 -0.291297 0.000331
19 -0.290919 0.000331
20 -0.290540 0.000331
21 -0.290162 0.000331
22 -0.289784 0.000331
23 -0.289406 0.000331
24 -0.289028 0.000331
25 -0.288650 0.000331
26 -0.288272 0.000331
27 -0.287894 0.000331
28 -0.287516 0.000331
29 -0.287139 0.000331
30 -0.286761 0.000331
31 -0.286384 0.000331
32 -0.286006 0.000331
33 -0.285629 0.000331
34 -0.285252 0.000331
35 -0.284875 0.000331
36 -0.284498 0.000331
37 -0.284121 0.000331
38 -0.283744 0.000331
39 -0.283367 0.000331
40 -0.282990 0.000331
41 -0.282613 0.000331
42 -0.282237 0.000331
43 -0.281860 0.000331
44 -0.281484 0.000331
45 -0.281107 0.000331
46 -0.280731 0.000331
47 -0.280355 0.000331
48 -0.279979 0.000331
49 -0.279603 0.000331
50 -0.279227 0.000331
51 -0.278851 0.000331
52 -0.278475 0.000331
53 -0.278099 0.000331
54 -0.277723 0.000331
55 -0.277348 0.000331
56 -0.276972 0.000331
57 -0.276597 0.000331
58 -0.276221 0.000331
59 -0.275846 0.000331
60 -0.275471 0.000331
61 -0.275096 0.000331
62 -0.274721 0.000331
63 -0.274346 0.000331
64 -0.273971 0.000331
65 -0.273596 0.000331
66 -0.273221 0.000331
67 -0.272846 0.000331
68 -0.272472 0.000331
69 -0.272097 0.000331
70 -0.271723 0.000331
71 -0.271348 0.000331
72 -0.270974 0.000331
73 -0.270600 0.000331
74 -0.270226 0.000331
75 -0.269852 0.000331
76 -0.269478 0.000331
77 -0.269104 0.000331
78 -0.268730 0.000331
79 -0.268356 0.000331
80 -0.267982 0.000331
81 -0.267609 0.000331
82 -0.267235 0.000331
83 -0.266862 0.000331
84 -0.266488 0.000331
85 -0.266115 0.000331
86 -0.265742 0.000331
87 -0.265369 0.000331
88 -0.264996 0.000331
89 -0.264623 0.000331
90 -0.264250 0.000331
91 -0.263877 0.000331
92 -0.263504 0.000331
93 -0.263131 0.000331
94 -0.262759 0.000331
95 -0.262386 0.000331
